INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
875	210	1	21205	21206	21207	21208	21209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
876	210	1	21205	21206	21207	21208	21209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
877	210	1	21205	21206	21207	21208	21209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
878	210	1	21217	21459	21460	21461	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
879	210	1	21217	21273	21272	21179	21462	21463	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
880	210	1	21211	21212	21213	21214	21217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
882	210	1	21464	21465	21466	21467	21217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
883	210	1	21217	21468	21469	21470	21471	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
884	210	1	21211	21212	21213	21214	21217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
885	210	1	21211	21212	21213	21214	21217	21458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
886	210	1	21211	21212	21213	21214	21217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
887	210	1	21211	21212	21213	21214	21217	21458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
888	210	1	21211	21212	21213	21214	21217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
889	210	1	21211	21212	21213	21214	21217	21458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1348	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1351	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1354	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1357	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1360	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1363	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1366	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1369	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1372	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1373	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1374	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1375	210	1	21220	21221	21223	21456	21457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1435	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1436	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1437	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1438	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1439	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1440	100	1	21455	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1441	210	1	21225	21226	21394	21395	21396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1442	150	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1443	150	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1444	150	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1445	150	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1657	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1658	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1659	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1667	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1668	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1669	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1677	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1678	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1679	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1687	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1688	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1689	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1697	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1698	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1699	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1707	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1708	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1709	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1717	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1718	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1719	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1727	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1728	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1729	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1737	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1738	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1739	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1747	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1748	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1749	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1757	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1758	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1759	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1767	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1768	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1769	354	1	21227	21228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##棋局
1852	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1853	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1854	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1855	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1856	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1857	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1858	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1859	210	1	21229	21230	21231	21232	21233	21474	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##镜湖剿匪
2532	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2533	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2534	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2535	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2536	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2537	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2538	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2539	210	1	21234	21235	21236	21237	21238	21239	21240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
###天荒古境马贼头领
2561	210	1	21242	21243	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##夺宝马贼
2562	210	1	21242	21243	21390	21403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2563	210	1	21390	21242	21243	21403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2564	210	1	21243	21242	21390	21403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2565	210	1	21390	21242	21243	21244	21403	21404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2566	210	1	21244	21243	21242	21241	21390	21403	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2567	210	1	21390	21241	21242	21243	21244	21403	21404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2568	210	1	21244	21243	21242	21241	21390	21403	21404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3040	80	1	21443	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3412	100	1	21213	21208	21207	21325	21235	21431	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3510	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3511	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3512	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3513	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3514	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3515	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3516	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3517	210	1	21245	21246	21247	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3518	210	1	21245	21246	21390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3519	210	1	21245	21246	21247	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##反贼
3648	100	1	21252	21447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3649	100	1	21252	21447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3654	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3655	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3656	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3657	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3658	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3659	210	1	21248	21249	21250	21251	21252	21454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##偷袭门派
3668	100	1	21448	21449	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3669	100	1	21448	21449	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3677	210	1	21448	21450	21451	21452	21453	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3678	210	1	21448	21450	21451	21452	21453	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3679	210	1	21448	21450	21451	21452	21453	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##踢球
3684	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3685	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3686	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3687	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3688	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3689	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3694	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3695	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3696	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3697	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3698	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3699	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3704	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3705	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3706	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3707	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3708	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3709	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3714	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3715	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3716	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3717	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3718	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3719	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3724	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3725	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3726	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3727	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3728	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3729	100	1	21426	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##
3789	210	1	21354	21355	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3799	210	1	21258	21259	21440	21441	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3809	210	1	21354	21355	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3816	400	1	21258	21259	21440	21139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3817	400	1	21258	21259	21440	21139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3818	400	1	21258	21259	21440	21139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3819	400	1	21258	21259	21440	21139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##
3830	210	1	21260	21261	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3831	210	1	21260	21261	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3832	210	1	21260	21261	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
##
3845	100	1	21485	21486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3846	100	1	21485	21486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3847	100	1	21485	21486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3848	100	1	21485	21486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3859	210	1	21354	21355	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3869	210	1	21354	21355	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3891	100	1	21487	21488	21489	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4080	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4081	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4082	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4083	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4084	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4085	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4086	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4087	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4088	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4089	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4090	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4091	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4092	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4093	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4094	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4095	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4096	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4097	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4098	6	1	21264	21265	21267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
