INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
57	1	1	5	7	30700240	1	200	100		0
58	1	1	5	8	20310161	1	2000	100		0
59	1	1	5	9	20310162	1	10000	100		0
60	1	1	5	10	20310163	1	50000	100		0
61	1	1	5	11	20310164	1	250000	100		0
62	1	1	5	12	20310165	1	1250000	100		0
63	1	1	5	13	20310122	1	200	100		0
64	1	1	5	14	20310131	1	200	100		0
65	1	1	5	15	20310140	1	200	100		0
66	1	1	5	16	20310149	1	200	100		0
67	1	1	5	17	20310125	1	80000	100		0
68	1	1	5	18	20310134	1	80000	100		0
69	1	1	5	19	20310143	1	80000	100		0
70	1	1	5	20	20310152	1	80000	100		0
71	1	1	5	21	20310155	1	160000	100		0
72	1	1	5	22	20310146	1	160000	100		0
73	1	1	5	23	20310137	1	160000	100		0
74	1	1	5	24	20310128	1	160000	100		0
75	1	1	6	1	10157002	1	200	100		0
76	1	1	6	2	20310177	1	2000	100		0
77	1	1	6	3	20310178	1	5000	100		0
78	1	1	6	4	20310179	1	10000	100		0
79	1	1	6	5	20310196	1	20000	100		0
80	1	1	6	6	20310196	10	200000	100		0
81	1	1	6	7	20310180	1	2000	100		0
82	1	1	6	8	38000930	1	888	100		0
83	1	1	6	9	38000152	1	2000	100		0
84	1	1	6	10	38000164	1	2000	100		0
85	1	1	6	11	38000165	1	2000	100		0
86	1	1	6	12	38001897	1	200	100		0
87	1	1	6	13	38000933	1	200	100		0
88	1	1	6	14	38000990	1	999	100		0
89	1	1	6	15	38000971	1	500000	100		0
90	1	1	6	16	38000972	1	500000	100		0
91	1	1	6	17	38000973	1	500000	100		0
92	1	1	6	18	38000974	1	500000	100		0
93	1	1	6	19	22802007	1	400000	100		0
94	1	1	6	20	20310182	1	18888	100		0
95	1	1	6	21	20310183	1	18888	100		0
96	1	1	6	22	20310181	1	18888	100		0
97	1	1	7	1	38001088	1	2888	100		0
98	1	1	7	2	38001090	1	5000	100		0
99	1	1	7	3	38001021	1	100	100		0
100	1	1	7	4	38001113	1	100	100		0
101	1	1	7	5	20800035	1	666	100		0
102	1	1	7	6	38001454	1	100	100		0
103	1	1	8	1	38000832	1	1000	100		0
104	1	1	8	2	38000652	1	100000	100		0
105	1	1	8	3	38000656	1	10000	100		0
106	1	1	8	4	38000658	1	10000	100		0
107	1	1	8	5	38000839	1	20000	100		0
108	1	1	8	6	38000807	1	1000	100		0
109	1	2	1	1	22701001	1	80000	100		0
110	1	2	1	2	22701002	1	80000	100		0
111	1	2	1	3	22702001	1	80000	100		0
112	1	2	1	4	22702005	1	100000	100		0
113	1	2	1	5	22702006	1	100000	100		0
114	1	2	1	6	22702007	1	100000	100		0
115	1	2	1	7	22702008	1	100000	100		0
116	1	2	1	8	22703001	1	80000	100		0
117	1	2	1	9	22704002	1	80000	100		0
118	1	2	1	10	22712005	1	80000	100		0
119	1	2	1	11	22712006	1	80000	100		0
120	1	2	1	12	22712007	1	80000	100		0
121	1	2	1	13	22712008	1	80000	100		0
122	1	2	1	14	22713001	1	80000	100		0
123	1	2	1	15	22713002	1	80000	100		0
124	1	2	1	16	22713003	1	80000	100		0
125	1	2	1	17	22713004	1	80000	100		0
126	1	2	1	18	22713005	1	80000	100		0
127	1	2	1	19	22713006	1	80000	100		0
128	1	2	1	20	22714001	1	80000	100		0
129	1	2	1	21	22716001	1	80000	100		0
130	1	2	1	22	22716002	1	80000	100		0
131	1	2	1	23	22721407	1	320000	100		0
132	1	2	1	24	22721307	1	320000	100		0
133	1	2	1	25	22721207	1	320000	100		0
134	1	2	1	26	22721107	1	320000	100		0
135	1	2	2	1	30501180	1	1500	100		0
136	1	2	2	2	30501189	1	1500	100		0
137	1	2	2	3	30501198	1	1500	100		0
138	1	2	2	4	30501207	1	1500	100		0
139	1	2	2	5	30501216	1	1500	100		0
140	1	2	2	6	30501225	1	1500	100		0
141	1	2	2	7	30501234	1	1500	100		0
142	1	2	2	8	30501243	1	1500	100		0
143	1	2	2	9	30501325	1	1500	100		0
144	1	2	3	1	30900126	1	1200	100		0
145	1	2	3	2	38000447	1	98	100		0
146	1	2	3	3	30900010	1	98	100		0
147	1	2	3	4	30900015	1	38	100		0
148	1	2	3	5	30900056	1	38	100		0
149	1	2	3	6	30900057	1	398	100		0
150	1	2	3	7	20109101	1	699	100		0
151	1	2	3	8	20109001	1	1	100		0
152	1	2	3	9	20109002	1	16	100		0
153	1	2	3	10	20109003	1	24	100		0
154	1	2	3	11	20109004	1	34	100		0
155	1	2	3	12	20109005	1	40	100		0
156	1	2	3	13	20109006	1	48	100		0
157	1	2	3	14	20109007	1	56	100		0
158	1	2	3	15	20109008	1	64	100		0
159	1	2	3	16	20109009	1	72	100		0
160	1	2	3	17	20109010	1	80	100		0
161	1	2	3	18	20109011	1	100	100		0
162	1	2	3	19	20109012	1	120	100		0
163	1	2	3	20	30900038	1	40	100		0
164	1	2	3	21	30900039	1	80	100		0
165	1	2	3	22	30900040	1	200	100		0
166	1	2	3	23	30900041	1	300	100		0
167	1	2	3	24	30900042	1	400	100		0
168	1	2	3	25	30900043	1	500	100		0
169	1	2	3	26	30900044	1	600	100		0
170	1	2	3	27	30900028	1	1	100		0
171	1	2	3	28	30900029	1	200	100		0
172	1	2	3	29	30900030	1	360	100		0
173	1	2	3	30	30900031	1	600	100		0
174	1	2	3	31	30900032	1	920	100		0
175	1	3	1	1	30309612	1	3050	100		0
176	1	3	1	2	30309734	1	7520	100		0
177	1	3	1	3	30309733	1	7520	100		0
178	1	3	1	4	30309732	1	1176	100		0
179	1	3	1	5	30309683	1	1120	100		0
180	1	3	1	6	30309613	1	3050	100		0
181	1	3	1	7	30505121	1	6324	100		0
182	1	3	1	8	30309052	1	2715	100		0
183	1	3	1	9	30309735	1	7520	100		0
184	1	3	1	10	30309736	1	7520	100		0
185	1	3	1	11	30309737	1	7520	100		0
186	1	3	1	12	30309738	1	7520	100		0
187	1	3	1	13	30309739	1	7520	100		0
188	1	3	1	14	30309770	1	7520	100		0
189	1	3	1	15	30309043	1	7520	100		0
190	1	3	1	16	30309799	1	7520	100		0
191	1	3	1	17	30309823	1	7520	100		0
192	1	3	1	18	30309762	1	7520	100		0
193	1	3	2	1	30310000	1	8340	100		0
194	1	3	2	2	30309999	1	8340	100		0
195	1	3	2	3	30309998	1	8340	100		0
196	1	3	2	4	30309997	1	8340	100		0
197	1	3	2	5	30309996	1	8340	100		0
198	1	3	2	6	30309918	1	8340	100		0
199	1	3	2	7	30309917	1	8340	100		0
200	1	3	2	8	30309925	1	8340	100		0
201	1	3	2	9	30309920	1	8340	100		0
202	1	3	2	10	30309921	1	8340	100		0
203	1	3	2	11	30309873	1	4523	100		0
204	1	3	2	12	30309871	1	1782	100		0
205	1	3	2	13	30309867	1	1012	100		0
206	1	3	2	14	30309864	1	1420	100		0
207	1	3	2	15	30309861	1	2456	100		0
208	1	3	2	16	30309860	1	2375	100		0
209	1	3	2	17	30309857	1	5637	100		0
210	1	3	2	18	30309856	1	2678	100		0
211	1	3	2	19	30309855	1	7520	100		0
212	1	3	2	20	30309854	1	7520	100		0
213	1	3	2	21	30309853	1	2541	100		0
214	1	3	2	22	30309852	1	4412	100		0
215	1	3	2	23	30309851	1	5345	100		0
216	1	3	2	24	30309850	1	2254	100		0
217	1	3	2	25	30309849	1	4872	100		0
218	1	3	2	26	30309848	1	1668	100		0
219	1	3	2	27	30309847	1	4536	100		0
220	1	3	2	28	30309846	1	4536	100		0
221	1	3	2	29	30309845	1	1123	100		0
222	1	3	2	30	30309844	1	5270	100		0
223	1	3	2	31	30309843	1	982	100		0
224	1	3	2	32	30309842	1	3888	100		0
225	1	3	2	33	30309841	1	4222	100		0
226	1	3	2	34	30309840	1	4850	100		0
227	1	3	2	35	30309839	1	5120	100		0
228	1	3	2	36	30309838	1	1688	100		0
229	1	3	2	37	30309837	1	3580	100		0
230	1	3	2	38	30309836	1	1120	100		0
231	1	3	2	39	30309835	1	2530	100		0
232	1	3	2	40	30309834	1	750	100		0
233	1	3	2	41	30309833	1	1102	100		0
234	1	3	3	1	30402025	1	1840	100		0
235	1	3	3	2	30402100	1	5688	100		0
236	1	3	3	3	30402102	1	5688	100		0
237	1	3	3	4	30402104	1	5688	100		0
238	1	3	3	5	30402106	1	5688	100		0
239	1	3	3	6	30402116	1	5688	100		0
240	1	3	3	7	30402118	1	5688	100		0
241	1	3	3	8	30402120	1	5688	100		0
242	1	3	3	9	30402122	1	5688	100		0
243	1	3	3	10	30402124	1	5688	100		0
244	1	3	3	11	30402096	1	920	100		0
245	1	3	3	12	30402097	1	920	100		0
246	1	3	3	13	30402098	1	920	100		0
247	1	3	3	14	30402099	1	920	100		0
248	1	3	3	15	30402029	1	396	100		0
249	1	3	3	16	30402035	1	396	100		0
250	1	3	3	17	30402045	1	528	100		0
251	1	3	3	18	30402091	1	720	100		0
252	1	3	3	19	30402093	1	600	100		0
253	1	3	3	20	30402051	1	528	100		0
254	1	3	3	21	30402052	1	528	100		0
255	1	3	3	22	30402053	1	528	100		0
256	1	3	3	23	30402054	1	528	100		0
257	1	3	3	24	30402033	1	396	100		0
258	1	3	3	25	30402037	1	396	100		0
259	1	3	3	26	30402039	1	396	100		0
260	1	3	3	27	30402041	1	396	100		0
261	1	3	3	28	30402043	1	396	100		0
262	1	3	3	29	30402081	1	396	100		0
263	1	3	3	30	30402082	1	396	100		0
264	1	3	3	31	30402083	1	396	100		0
265	1	3	3	32	30402084	1	396	100		0
266	1	3	3	33	30402085	1	396	100		0
267	1	3	3	34	30402086	1	396	100		0
268	1	3	3	35	30402055	1	396	100		0
269	1	3	3	36	30402059	1	396	100		0
270	1	3	3	37	30402047	1	396	100		0
271	1	3	3	38	30402049	1	396	100		0
272	1	3	3	39	30402061	1	396	100		0
273	1	3	3	40	30402063	1	396	100		0
274	1	3	3	41	30402065	1	396	100		0
275	1	3	3	42	30402067	1	396	100		0
276	1	3	3	43	30402069	1	396	100		0
277	1	3	3	44	30402073	1	396	100		0
278	1	3	3	45	30402075	1	396	100		0
279	1	3	3	46	30402077	1	396	100		0
280	1	3	3	47	30402079	1	396	100		0
281	1	3	4	1	30402095	1	39800	100		0
282	1	3	4	2	30402101	1	8688	100		0
283	1	3	4	3	30402103	1	8688	100		0
284	1	3	4	4	30402105	1	8688	100		0
285	1	3	4	5	30402107	1	8688	100		0
286	1	3	4	6	30402117	1	8688	100		0
287	1	3	4	7	30402119	1	8688	100		0
288	1	3	4	8	30402121	1	8688	100		0
289	1	3	4	9	30402123	1	8688	100		0
290	1	3	4	10	30402125	1	8688	100		0
291	1	3	4	11	30402087	1	5960	100		0
292	1	3	4	12	30402088	1	5960	100		0
293	1	3	4	13	30402089	1	5960	100		0
294	1	3	4	14	30402090	1	5960	100		0
295	1	3	4	15	30402026	1	2320	100		0
296	1	3	4	16	30402030	1	1096	100		0
297	1	3	4	17	30402034	1	1096	100		0
298	1	3	4	18	30402036	1	1096	100		0
299	1	3	4	19	30402046	1	1596	100		0
300	1	3	4	20	30402038	1	1096	100		0
301	1	3	4	21	30402040	1	1096	100		0
302	1	3	4	22	30402042	1	1096	100		0
303	1	3	4	23	30402044	1	1096	100		0
304	1	3	4	24	30402092	1	1996	100		0
305	1	3	4	25	30402094	1	1580	100		0
306	1	3	4	26	30402072	1	1596	100		0
307	1	3	4	27	30402048	1	1096	100		0
308	1	3	4	28	30402050	1	1096	100		0
309	1	3	4	29	30402012	1	1096	100		0
310	1	3	4	30	30402014	1	1096	100		0
311	1	3	4	31	30402016	1	1096	100		0
312	1	3	4	32	30402018	1	1096	100		0
313	1	3	4	33	30402020	1	1096	100		0
314	1	3	4	34	30402056	1	1096	100		0
315	1	3	4	35	30402060	1	1096	100		0
316	1	3	4	36	30402062	1	1096	100		0
317	1	3	4	37	30402064	1	1096	100		0
318	1	3	4	38	30402066	1	1096	100		0
319	1	3	4	39	30402068	1	1096	100		0
320	1	3	4	40	30402070	1	1096	100		0
321	1	3	4	41	30402074	1	1096	100		0
322	1	3	4	42	30402076	1	1096	100		0
323	1	3	4	43	30402078	1	1096	100		0
324	1	3	4	44	30402080	1	1096	100		0
325	1	3	4	45	30402001	1	9999	100		0
326	1	3	4	46	30402002	1	9999	100		0
327	1	3	4	47	30402003	1	9999	100		0
328	1	3	4	48	30402004	1	9999	100		0
329	1	3	5	1	30503201	1	149800	100		0
330	1	3	5	2	30503192	1	149800	100		0
331	1	3	5	3	30503190	1	149800	100		0
332	1	3	5	4	39901016	1	149800	100		0
333	1	3	5	5	30503186	1	149800	100		0
334	1	3	5	6	30503185	1	149800	100		0
335	1	3	5	7	30503183	1	149800	100		0
336	1	3	5	8	30503184	1	149800	100		0
337	1	3	5	9	30900123	1	204	100		0
338	1	3	5	10	38001082	1	180	100		0
339	1	3	5	11	38001080	1	180	100		0
340	1	3	5	12	30503043	1	500	100		0
341	1	3	5	13	30503044	1	1800	100		0
342	1	3	5	14	30503045	1	9000	100		0
343	1	3	5	15	30503034	1	500	100		0
344	1	3	5	16	30503035	1	1800	100		0
345	1	3	5	17	30503036	1	9000	100		0
346	1	3	5	18	30503052	1	500	100		0
347	1	3	5	19	30503053	1	1800	100		0
348	1	3	5	20	30503054	1	9000	100		0
349	1	3	5	21	30503176	1	1500	100		0
350	1	3	5	22	30503177	1	6000	100		0
351	1	3	5	23	30503178	1	30000	100		0
352	1	3	5	24	30503017	1	500	100		0
353	1	3	5	25	30503018	1	500	100		0
354	1	3	5	26	30503019	1	500	100		0
355	1	3	5	27	30503020	1	500	100		0
356	1	3	5	28	30502000	10	240	100		0
357	1	3	5	29	30502001	10	320	100		0
358	1	3	5	30	30502002	10	400	100		0
359	1	3	5	31	30502005	1	5000	100		0
360	1	3	5	32	30503021	1	9999	100		0
361	1	3	5	33	30502003	1	20000	100		0
362	1	3	5	34	30509500	1	400	100		0
363	1	3	5	35	30509501	1	800	100		0
364	1	3	5	36	30509502	1	1400	100		0
365	1	3	5	37	30509503	1	1600	100		0
366	1	3	5	38	30900061	1	500	100		0
367	1	3	5	39	30503182	10	8888	100		0
368	1	4	1	1	38002067	1	600	100		0
369	1	4	1	2	38002046	1	888	100		0
370	1	4	1	3	30008119	1	150	100		0
371	1	4	1	4	30008027	1	60	100		0
372	1	4	1	5	30008003	1	38	100		0
373	1	4	1	6	30008016	1	24	100		0
374	1	4	1	7	30700243	1	200	100		0
375	1	4	1	8	30008005	1	200	100		0
376	1	4	1	9	30008004	1	2000	100		0
377	1	4	1	10	31000000	1	168	100		0
378	1	4	1	11	31000002	1	160	100		0
379	1	4	1	12	31000001	1	200	100		0
380	1	4	1	13	31000003	1	200	100		0
381	1	4	2	1	38004292	1	20000	100		0
382	1	4	2	2	38004293	1	20000	100		0
383	1	4	2	3	38004294	1	20000	100		0
384	1	4	2	4	38004295	1	20000	100		0
385	1	4	2	5	38004296	1	20000	100		0
386	1	4	2	6	38004297	1	20000	100		0
387	1	4	2	7	38004298	1	20000	100		0
388	1	4	2	8	38004299	1	20000	100		0
389	1	4	2	9	38004300	1	20000	100		0
390	1	4	2	10	38004301	1	20000	100		0
391	1	4	2	11	38004302	1	20000	100		0
392	1	4	2	12	38004303	1	20000	100		0
393	1	4	2	13	38004304	1	20000	100		0
394	1	4	2	14	38004305	1	20000	100		0
395	1	4	2	15	38004306	1	20000	100		0
396	1	4	2	16	38004307	1	20000	100		0
397	1	4	2	17	38004308	1	20000	100		0
398	1	4	2	18	38004309	1	20000	100		0
399	1	4	2	19	38004310	1	20000	100		0
400	1	4	2	20	38004311	1	20000	100		0
401	1	4	2	21	38004312	1	20000	100		0
402	1	4	2	22	38004313	1	20000	100		0
403	1	4	2	23	38004314	1	20000	100		0
404	1	4	2	24	38004315	1	20000	100		0
405	1	4	2	25	38004316	1	20000	100		0
406	1	4	2	26	38004317	1	20000	100		0
407	1	4	2	27	38004318	1	20000	100		0
408	1	4	2	28	38004319	1	20000	100		0
409	1	4	2	29	38004320	1	10000	100		0
410	1	4	2	30	38004321	1	10000	100		0
411	1	4	2	31	38004322	1	10000	100		0
412	1	4	2	32	38004323	1	10000	100		0
413	1	4	2	33	38004324	1	10000	100		0
414	1	4	2	34	38004325	1	10000	100		0
415	1	4	2	35	38004326	1	10000	100		0
416	1	4	2	36	38004327	1	10000	100		0
417	1	4	2	37	38004328	1	10000	100		0
418	1	4	2	38	38004329	1	10000	100		0
419	1	4	2	39	38004330	1	10000	100		0
420	1	4	2	40	38004331	1	10000	100		0
421	1	4	2	41	38004332	1	10000	100		0
422	1	4	2	42	38004333	1	10000	100		0
423	1	4	2	43	38004334	1	10000	100		0
424	1	4	2	44	38004335	1	10000	100		0
425	1	4	2	45	38004336	1	10000	100		0
426	1	4	2	46	38004337	1	10000	100		0
427	1	4	2	47	38004338	1	10000	100		0
428	1	4	2	48	38004339	1	10000	100		0
429	1	4	2	49	38004340	1	10000	100		0
430	1	4	2	50	38004341	1	10000	100		0
431	1	4	2	51	38004342	1	10000	100		0
432	1	4	2	52	38004343	1	10000	100		0
433	1	4	2	53	38004344	1	10000	100		0
434	1	4	2	54	38004345	1	10000	100		0
435	1	4	2	55	38004346	1	10000	100		0
436	1	4	2	56	38004347	1	10000	100		0
437	1	4	2	57	38004348	1	10000	100		0
438	1	4	2	58	38004349	1	10000	100		0
439	1	4	2	59	38004350	1	10000	100		0
440	1	4	2	60	38004351	1	10000	100		0
441	1	4	2	61	38004352	1	10000	100		0
442	1	4	2	62	38004353	1	10000	100		0
443	1	4	3	1	30000000	1	1500	100		0
444	1	4	3	2	30001031	1	2000	100		0
445	1	4	3	3	38002899	1	132000	100		0
446	1	4	3	4	38000360	1	2000	100		0
447	1	4	3	5	38000361	1	5000	100		0
448	1	4	3	6	38002121	1	150	100		0
449	1	4	3	7	38001595	1	100	100		0
450	1	4	3	8	38001241	1	200	100		0
451	1	4	3	9	38001078	1	300	100		0
452	1	4	3	10	30008123	1	110	100		0
453	1	4	3	11	38001020	1	398	100		0
454	1	4	3	12	38002567	1	10200	100		0
455	1	4	3	13	30008114	1	300	100		0
456	1	4	3	14	30501122	1	40	100		0
457	1	4	3	15	30505260	1	32	100		0
458	1	4	3	16	30008105	1	4800	100		0
459	1	4	3	17	30503140	1	180	100		0
460	1	4	3	18	30008026	1	12	100		0
461	1	4	3	19	30700204	1	400	100		0
462	1	4	3	20	30501358	1	40	100		0
463	1	4	3	21	30501358	11	400	100		0
464	1	4	3	22	30501167	1	50	100		0
465	1	4	3	23	30501167	11	500	100		0
466	1	4	3	24	30501173	1	800	100		0
467	1	4	3	25	30505106	1	132	100		0
468	1	4	3	26	30505079	1	3999	100		0
469	1	4	3	27	31000100	1	400	100		0
470	1	4	3	28	30008013	1	2560	100		0
471	1	4	3	29	30008007	1	100	100		0
472	1	4	3	30	30008009	1	80	100		0
473	1	4	3	31	30008006	1	80	100		0
474	1	4	4	1	30505053	10	32	100		0
475	1	4	4	2	30505054	10	40	100		0
476	1	4	4	3	30505055	10	48	100		0
477	1	4	4	4	30505056	10	56	100		0
478	1	4	4	5	30505057	10	64	100		0
479	1	4	4	6	30505058	10	72	100		0
480	1	4	4	7	30505059	10	80	100		0
481	1	4	4	8	30501037	1	32	100		0
482	1	4	4	9	30501038	1	32	100		0
483	1	4	4	10	30501039	1	32	100		0
484	1	4	4	11	30501040	1	32	100		0
485	1	4	4	12	30501041	1	32	100		0
486	1	4	4	13	30501042	1	32	100		0
487	1	5	1	1	10124043	1	4000	100		0
488	1	5	1	2	10125000	1	16800	100		0
489	1	5	1	3	10124392	1	71000	100		0
490	1	5	1	4	10124391	1	51200	100		0
491	1	5	1	5	10124390	1	51200	100		0
492	1	5	1	6	10124356	1	5120	100		0
493	1	5	1	7	10125335	1	5120	100		0
494	1	5	1	8	10125326	1	5120	100		0
495	1	5	1	9	10125306	1	5120	100		0
496	1	5	1	10	10125232	1	5120	100		0
497	1	5	1	11	10125241	1	5120	100		0
498	1	5	1	12	10125250	1	5120	100		0
499	1	5	1	13	10125259	1	5120	100		0
500	1	5	1	14	10125268	1	5120	100		0
501	1	5	1	15	10125277	1	5120	100		0
502	1	5	1	16	10125286	1	5120	100		0
503	1	5	1	17	10125295	1	5120	100		0
504	1	5	1	18	10125223	1	5120	100		0
505	1	5	1	19	10125168	1	5120	100		0
506	1	5	1	20	10125178	1	5120	100		0
507	1	5	1	21	10125187	1	5120	100		0
508	1	5	1	22	10125214	1	5120	100		0
509	1	5	1	23	10125159	1	5120	100		0
510	1	5	1	24	10125112	1	5120	100		0
511	1	5	1	25	10125121	1	5120	100		0
512	1	5	1	26	10125149	1	5120	100		0
513	1	5	1	27	10125140	1	5120	100		0
514	1	5	1	28	10125066	1	5120	100		0
515	1	5	1	29	10124363	1	5120	100		0
516	1	5	1	30	10124362	1	5120	100		0
517	1	5	1	31	10124361	1	5120	100		0
518	1	5	1	32	10124360	1	5120	100		0
519	1	5	1	33	10124359	1	5120	100		0
520	1	5	1	34	10124239	1	5120	100		0
521	1	5	1	35	10124234	1	5120	100		0
522	1	5	1	36	10124339	1	5120	100		0
523	1	5	1	37	10124368	1	5120	100		0
524	1	5	1	38	10124364	1	5120	100		0
525	1	5	1	39	10125094	1	5120	100		0
526	1	5	1	40	10125084	1	5120	100		0
527	1	5	1	41	10125075	1	4800	100		0
528	1	5	1	42	10124354	1	3800	100		0
529	1	5	1	43	10125038	1	5120	100		0
530	1	5	1	44	10125011	1	5188	100		0
531	1	5	1	45	10125011	1	4852	100		0
532	1	5	1	46	10125029	1	3888	100		0
533	1	5	1	47	10125048	1	4152	100		0
534	1	5	1	48	10125057	1	5120	100		0
535	1	5	1	49	10125066	1	5120	100		0
536	1	5	1	50	10125075	1	4852	100		0
537	1	5	1	51	10125084	1	5120	100		0
538	1	5	1	52	10125094	1	3888	100		0
539	1	5	1	53	10125103	1	5120	100		0
540	1	5	1	54	10124353	1	3888	100		0
541	1	5	1	55	10124350	1	3888	100		0
542	1	5	1	56	10124349	1	3888	100		0
543	1	5	1	57	10124348	1	3888	100		0
544	1	5	1	58	10124347	1	3888	100		0
545	1	5	1	59	10124345	1	3888	100		0
546	1	5	1	60	10124337	1	3888	100		0
547	1	5	1	61	10124317	1	4120	100		0
548	1	5	1	62	10124285	1	4120	100		0
549	1	5	1	63	10124435	1	99999	100		0
550	1	5	1	64	10124436	1	99999	100		0
551	1	5	1	65	10124415	1	99999	100		0
552	1	5	1	66	10124409	1	99999	100		0
553	1	5	1	67	10124410	1	99999	100		0
554	1	5	1	68	10124374	1	99999	100		0
555	1	5	1	69	10124403	1	5120	100		0
556	1	5	1	70	10124405	1	5120	100		0
557	1	5	1	71	10124406	1	5120	100		0
558	1	5	1	72	10124407	1	5120	100		0
559	1	5	1	73	10124408	1	5120	100		0
560	1	5	1	74	10124411	1	5120	100		0
561	1	5	1	75	10124412	1	5120	100		0
562	1	5	1	76	10124413	1	5120	100		0
563	1	5	1	77	10124414	1	5120	100		0
564	1	5	1	78	10124416	1	5120	100		0
565	1	5	1	79	10124417	1	5120	100		0
566	1	5	1	80	10124420	1	5120	100		0
567	1	5	1	81	10124422	1	5120	100		0
568	1	5	1	82	10124421	1	5120	100		0
569	1	5	2	1	10124438	1	5120	100		0
570	1	5	2	2	10124439	1	5120	100		0
571	1	5	2	3	10124440	1	5120	100		0
572	1	5	2	4	10124441	1	5120	100		0
573	1	5	2	5	10124442	1	5120	100		0
574	1	5	2	6	10124443	1	5120	100		0
575	1	5	2	7	10124444	1	5120	100		0
576	1	5	2	8	10124445	1	5120	100		0
577	1	5	2	9	10124446	1	5120	100		0
578	1	5	2	10	10124447	1	5120	100		0
579	1	5	2	11	10124448	1	5120	100		0
580	1	5	2	12	10124449	1	5120	100		0
581	1	5	2	13	10124450	1	5120	100		0
582	1	5	2	14	10124451	1	5120	100		0
583	1	5	2	15	10124452	1	5120	100		0
584	1	5	2	16	10124453	1	5120	100		0
585	1	5	2	17	10124454	1	5120	100		0
586	1	5	2	18	10124455	1	5120	100		0
587	1	5	2	19	10124456	1	5120	100		0
588	1	5	2	20	10124457	1	5120	100		0
589	1	5	2	21	10124458	1	5120	100		0
590	1	5	2	22	10124461	1	5120	100		0
591	1	5	2	23	10124462	1	5120	100		0
592	1	5	2	24	10124463	1	5120	100		0
593	1	5	2	25	10124464	1	5120	100		0
594	1	5	2	26	10124465	1	5120	100		0
595	1	5	2	27	10124466	1	5120	100		0
596	1	5	2	28	10124467	1	5120	100		0
597	1	5	2	29	10124468	1	5120	100		0
598	1	5	2	30	10124478	1	5120	100		0
599	1	5	2	31	10124479	1	5120	100		0
600	1	5	2	32	10124480	1	5120	100		0
601	1	5	2	33	10124490	1	5120	100		0
602	1	5	2	34	10124491	1	5120	100		0
603	1	5	2	35	10124492	1	5120	100		0
604	1	5	2	36	10124493	1	5120	100		0
605	1	5	2	37	10125350	1	5120	100		0
606	1	5	2	38	10125349	1	5120	100		0
607	1	5	3	1	20307001	1	398	100		0
608	1	5	3	2	20307187	1	398	100		0
